type,properties/name,properties/web_address,properties/image,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,University of Washington,https://www.washington.edu/,https://logo.clearbit.com/cs.washington.edu?size=40,Point,-122.3300624,47.6038321
Feature,BeCode,https://www.becode.org/,https://logo.clearbit.com/becode.org?size=40,Point,3.71343716892014,51.03613175
Feature,Bucknell University,https://www.bucknell.edu/,https://logo.clearbit.com/bucknell.edu?size=40,Point,-76.8865712,40.955374
Feature,Yokohama National University,https://www.ynu.ac.jp,https://logo.clearbit.com/ynu.ac.jp?size=40,Point,139.590045442756,35.47379775
Feature,Sing Yin Secondary School,http://www.singyin.edu.hk/,https://logo.clearbit.com/singyin.edu.hk?size=40,Point,114.2155594,22.3325541
Feature,Wyncode Academy,https://wyncode.co/,https://logo.clearbit.com/wyncode.co?size=40,Point,-80.2043344,25.8030161
Feature,Università di Pisa,https://www.unipi.it/,https://logo.clearbit.com/for.unipi.it?size=40,Point,10.3988735,43.7166307
Feature,Universidad Cristóbal Colón,http://ucc.mx/,https://logo.clearbit.com/ucc.mx?size=40,Point,-96.1327513,19.1556691
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,-0.0703715697639565,51.5200465
Feature,Ubiqum Code Academy,https://ubiqum.com/,https://logo.clearbit.com/?size=40,Point,2.19339213020251,41.4035355834602
Feature,SMK TELKOM PURWOKERTO,http://smktelkom-pwt.sch.id/,https://logo.clearbit.com/smktelkom-pwt.sch.id?size=40,Point,109.1269179,-7.618213
Feature,University of Maryland at Baltimore,https://www.umaryland.edu/,https://logo.clearbit.com/umbc.edu?size=40,Point,-76.7119883873127,39.25817605
Feature,Canterbury Technical Institute,https://cti.qld.edu.au/,https://logo.clearbit.com/cti.qld.edu.au?size=40,Point,153.0261078,-27.4677792
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,-0.5609875,44.8413816
Feature,Universidad de Deusto,https://www.deusto.es/cs/Satellite/deusto/es/universidad-deusto,https://logo.clearbit.com/opendeusto.es?size=40,Point,-2.9375516,43.2704545
Feature,St. Louis Community College,https://stlcc.edu/,https://logo.clearbit.com/stlcc.edu?size=40,Point,-90.274696,38.629651
Feature,St. Louis Community College,https://stlcc.edu/,https://logo.clearbit.com/stlcc.edu?size=40,Point,-90.281901,38.770235
Feature,St. Louis Community College,https://stlcc.edu/,https://logo.clearbit.com/stlcc.edu?size=40,Point,-90.4206538258828,38.56878825
Feature,St. Louis Community College,https://stlcc.edu/,https://logo.clearbit.com/stlcc.edu?size=40,Point,-90.2230966873616,38.6471317789606
Feature,St. Louis Community College,https://stlcc.edu/,https://logo.clearbit.com/stlcc.edu?size=40,Point,-90.4388508,38.7429532
Feature,IES Gran Capitán de Córdoba,http://www.iesgrancapitan.org/portal/,https://logo.clearbit.com/iesgrancapitan.org?size=40,Point,-4.7760138,37.8845813
Feature,Holberton School,https://www.holbertonschool.com/,https://logo.clearbit.com/holbertonschool.com?size=40,Point,-72.9250518,41.3082138
Feature,Florida Institute of Technology,https://www.fit.edu/,https://logo.clearbit.com/my.fit.edu?size=40,Point,-80.6250758571429,28.0639494489796
Feature,Xavier University of Louisiana,https://xula.edu/,https://logo.clearbit.com/xula.edu?size=40,Point,-90.1064636113043,29.9641367
Feature,Eltham College,https://www.elthamcollege.london/,https://logo.clearbit.com/eltham-college.org.uk?size=40,Point,0.0394323,51.4365602
Feature,Devslink Lab S.A de C.V,http://www.devslink.com.mx/,https://logo.clearbit.com/devslink.com.mx?size=40,Point,-101.7406687,21.0909473
Feature,BeCode,https://www.becode.org/,https://logo.clearbit.com/becode.org?size=40,Point,4.3577896,50.8457606
Feature,Santa Barbara City College,http://www.sbcc.edu/,https://logo.clearbit.com/pipeline.sbcc.edu?size=40,Point,-119.697268,34.406391
Feature,University of Maryland at Baltimore,https://www.umaryland.edu/,https://logo.clearbit.com/umbc.edu?size=40,Point,-76.6249649757783,39.29169565
Feature,Linn–Benton Community College,https://www.linnbenton.edu/,https://logo.clearbit.com/mail.linnbenton.edu?size=40,Point,-123.1041402,44.6301202
Feature,Ohio University,https://www.ohio.edu/,https://logo.clearbit.com/ohio.edu?size=40,Point,-82.0974962135303,39.3223443594133
Feature,"University of California, Santa Barbara",https://www.ucsb.edu/,https://logo.clearbit.com/umail.ucsb.edu?size=40,Point,-119.844108,34.411572
Feature,Algonquin & Lakeshore Catholic District School Board,http://alcdsb.on.ca/,https://logo.clearbit.com/alcdsb.on.ca?size=40,Point,-76.9480999,44.2549674
Feature,Texas A&M University,https://www.tamu.edu/,https://logo.clearbit.com/tamu.edu?size=40,Point,-96.3346553,30.6162937
Feature,Istituto Europeo di Design (IED),https://www.ied.edu/,https://logo.clearbit.com/ied.es?size=40,Point,-3.6932076,40.4339847
